name,price,sold_count
CLEAR STOCK 1500 Puff Pod Disposable Pakai Buang OEM (850mAh) similar HQD cuvie Artery abar,RM5.99,265 sold
"ELF BAR Disposable Pod Up to 1500 Puffs Juice Capacity 4.8ML, Battery capacity 850ah (POD PAKAI BUANG)",RM5.99,1.6K sold
VAPECAM 12000 PUFF CARTRIDGE 12K FULL LINEUP,RM14.90,156 sold
PUFF Plus Disposable Pod 800 Puffs 550mAh 3.2mL l Akso Hcigar l Elf bar l This is stick l (Pakai buang pod) Pod Stick,RM8.88,987 sold
This IS Salt Disposable 800Puffs Clear Stock !!! Up For Buy,RM4.00,19 sold
NEW GEEK BAR PSG9000 PUFF DISPOSABLE READY STOCK / COLLABORATION WITH PSG / SAME DAY DELIVERY / VAPE KIT,RM33.30,286 sold
ORIGINAL H-A-R-U-M MANIS DISPOSABLE POD 800 puff [READY STOCK],RM7.88,6 sold
WHOLESALE ELF BAR 1500 puff Disposable Pod Stick China Import Version (*NOT MALAYSIA VERSION) - Similar This Is Stick Artery Abar zozo ELF_elf Bar (CMSHOP),RM11.99,2.4K sold
ELFBAR TE6000 Puff Fruity/Creamy Disposable Pod Pakai Buang ELF TE6000 ELFBAR TE 6000 PUFF READY STOCK FOR SALE ALL FLAVOUR,RM27.00,427 sold
STOCK READY - SoMatch (FLAVOR) 6000P / Disposable,RM22.89,50 sold
[SUX ULTRA] 6500 PUFF NEW DISPOSABLE FLAVOUR CAN REFILL POD SET / FLAVOUR ONLY SUX ULTRA NEW DISPOSABLE ALL FLAVOUR AVAILABLE READY,RM19.90,178 sold
Volt Bar Switch_ 12k Puffs Dispo Closed System Pod kit,RM26.00,459 sold
WeJaga Original ELF BAR 3000 puff Disposable pod 3000 puffs Fruity/Creamy Disposable Pod Pakai Buang,RM26.00,105 sold
Naked 100 nkd 100 Max Disposable Rechargeable 4500Puffs nkd100 pod 10ml naked pod disposable,RM29.99,270 sold
Ijoy Lio 1500Puffs 800mAh 5.4ml Disposable Pod Kit,RM3.50,27 sold
Elf_ Bar TE6000 Puffs Pod,RM29.90,97 sold
"AAOK AIR 2 GO 12,000 PUFFS DSP KIT",RM29.90,104 sold
Latest Lowit 12K Dispo Pod,RM22.00,47 sold
GEEKBAR PSG9000 9000 PUFF DSP KIT,RM35.90,47 sold
Latest Lowit 12K ( Bigger ) Closed System Pod,RM23.00,15 sold
SUX ULTRA 6500 PUFF NEW DISPOSIBLE FLAVOUR CAN REFILL POD SET / FLAVOUR ONLY SUX ULTRA NEW DISPOSIBLE ALL FLAVOUR AVAILABLE READY,RM21.99,109 sold
Original Werti Disposable Pod 4500Puff,RM12.00,30 sold
NOZZ DISPOSABLE 10000PUFFS ADJUSTABLE AIRFLOW,RM34.00,84 sold
New SP2s once 2000puffs disposable pod Ready Stock,RM17.50,230 sold
NEW* ALADDIN PRO 9000 PUFF DISPOSABLE STARTER KIT / PREFILLED LEFTYCOOL VOLTBAR GASBAR VAPETAPE ELF BAR,RM34.99,603 sold
ELFBAR TE6000 Elf Bar TE 6000 Puffs Disposable Pod CREAMY SERIES Elf Bar 6000 Elfbar 6000 EMPIRE,RM22.00,77 sold
New Promotion Disposable Breze Stick 6k Puffs,RM10.00,Wp Kuala Lumpur
"WAKA SoPro PA600 Disposable Vape True 600 Puffs (Mango Passion Fruit, Oolong Tea, Strawberry Mango, Watermelon Chill, Cappuccino, Grape) Mesh Coil 2.0",RM16.90,123 sold
PINGPING ELFBAR 3000 PUFFS PAKAI_BUANG_DISPOSABLE_POD_BC3000_ 3000_PUFFS,RM26.00,491 sold
COOLGO RL 1500 Puffs Rechargeable LED Flash Light Disposable Pod 5ml with LED Pakai Buang - Similar Smooth Ocean/This Is Stick/ELF bar/Artery bar/AKSO maxx (CMSHOP),RM13.99,929 sold
GASBAR 9000 PUFF DISPOSABLE USB TYPE C RECHARGEABLE BATTERY GAS BAR LEFTYCOOL VOLTBAR ELFBAR,RM24.99,240 sold
* SQUIDBOX DISPOSABLE 5200 * SQUID BOX DISPOSABLE POD 5200 PUFFS 12ML 850MAH RECHARGEABLE,RM10.00,9 sold
( Disposable ) 100% Original Relax Bar Prefilled 8000 Puffs Pod Kit Plug & Vape Starter Kit / Cart / Reusable Device,RM25.00,140 sold
Vapecam Prefilled Pod Kit 12000 Puffs By Vault Vape Disposable 650mAh Type-C Fast Charging Yogurt Vape Disposable New Disposable Hot Sales Disposable,RM25.00,23 sold
HQD Cuvie Plus 1200 puffs. Disposable Pod Taste Better and Price Cheaper than ELF Bar or Artery ABAR Disposable Pods,RM9.99,71 sold
Naked 100 nkd 100 Max Disposable Rechargeable 4500Puffs nkd100 pod 10ml naked pod disposable,RM29.99,234 sold
Disposable Harga Murah Classic Series 1500 Puffs OEM China Pod Pakai Buang,RM5.99,255 sold
Aspire T10 2200 Puffs Disposable Clear STock,RM4.00,Wp Kuala Lumpur
Elf Bar 6000 Puff Disposable Pod (ELFBAR),RM33.00,8 sold
HQD Cuvie Plus 1200 puffs Disposable Pod Taste Better and Price Cheaper than ELF Bar or Artery ABAR Disposable Pods (BLACK STORE TRADING),RM8.99,9 sold
CLEAR STOCK 1500 Puff Pod Disposable Pakai Buang OEM (850mAh) similar HQD cuvie Artery abar,RM5.99,265 sold
"ELF BAR Disposable Pod Up to 1500 Puffs Juice Capacity 4.8ML, Battery capacity 850ah (POD PAKAI BUANG)",RM5.99,1.6K sold
VAPECAM 12000 PUFF CARTRIDGE 12K FULL LINEUP,RM14.90,156 sold
PUFF Plus Disposable Pod 800 Puffs 550mAh 3.2mL l Akso Hcigar l Elf bar l This is stick l (Pakai buang pod) Pod Stick,RM8.88,987 sold
This IS Salt Disposable 800Puffs Clear Stock !!! Up For Buy,RM4.00,19 sold
NEW GEEK BAR PSG9000 PUFF DISPOSABLE READY STOCK / COLLABORATION WITH PSG / SAME DAY DELIVERY / VAPE KIT,RM33.30,286 sold
ORIGINAL H-A-R-U-M MANIS DISPOSABLE POD 800 puff [READY STOCK],RM7.88,6 sold
WHOLESALE ELF BAR 1500 puff Disposable Pod Stick China Import Version (*NOT MALAYSIA VERSION) - Similar This Is Stick Artery Abar zozo ELF_elf Bar (CMSHOP),RM11.99,2.4K sold
ELFBAR TE6000 Puff Fruity/Creamy Disposable Pod Pakai Buang ELF TE6000 ELFBAR TE 6000 PUFF READY STOCK FOR SALE ALL FLAVOUR,RM27.00,427 sold
STOCK READY - SoMatch (FLAVOR) 6000P / Disposable,RM22.89,50 sold
Volt Bar Switch_ 12k Puffs Dispo Closed System Pod kit,RM26.00,459 sold
（buy 10 get 1 free )OiXi Bar Disposable Pod Up To 6000 Puffs Rechargeable Legit 3% SALT NIC Vape,RM7.00,982 sold
[VOLTBAR] 6000PUFF DISPOSABLE POD RECHARGE,RM27.90,58 sold
DISPOSABLE VAPE LANA PREMIUM BAR 5800PUFFS ALL FLAVOUR HAVE,RM28.99,24 sold
Ijoy Lio 1500Puffs 800mAh 5.4ml Disposable Pod Kit,RM3.50,27 sold
Latest Lowit 12K Dispo Pod,RM22.00,47 sold
GEEKBAR PSG9000 9000 PUFF DSP KIT,RM35.90,47 sold
Naked 100 nkd Disposable Pod nkd100 nkd max 4500puff voltbar capbar,RM29.99,1.4K sold
NEW AKSO SUPA 9500 PUFFS * AKSO SUPA DISPOSABLE POD 9500 PUFFS RECHARGEABLE RISE ABOVE POWER CHILD LOCK SAFETY EXTRA BOOST BUTTON,RM33.50,83 sold
New SP2s once 2000puffs disposable pod Ready Stock,RM17.50,230 sold
LANA MINI 600 PUFF ONE TIME USE DISPOSABLE,RM14.99,47 sold
ELFBAR TE6000 Elf Bar TE 6000 Puffs Disposable Pod CREAMY SERIES Elf Bar 6000 Elfbar 6000 EMPIRE,RM22.00,77 sold
HQD Cuvie Plus 1200 puffs Disposable Pod Taste Better and Price Cheaper than ELF Bar or Artery ABAR Disposable Pods (PAKAI BUANG POD),RM9.99,436 sold
New Promotion Disposable Breze Stick 6k Puffs,RM10.00,Wp Kuala Lumpur
Amaze Disposable Adjustable Airflow 1600 Puffs 900mAh 5ml,RM5.00,5 sold
"WAKA SoPro PA600 Disposable Vape True 600 Puffs (Mango Passion Fruit, Oolong Tea, Strawberry Mango, Watermelon Chill, Cappuccino, Grape) Mesh Coil 2.0",RM16.90,123 sold
PINGPING ELFBAR 3000 PUFFS PAKAI_BUANG_DISPOSABLE_POD_BC3000_ 3000_PUFFS,RM26.00,491 sold
Akso IGO 8000Puffs Disposable Pod Rechargeable Type-C Mesh Coil,RM30.00,14 sold
COOLGO RL 1500 Puffs Rechargeable LED Flash Light Disposable Pod 5ml with LED Pakai Buang - Similar Smooth Ocean/This Is Stick/ELF bar/Artery bar/AKSO maxx (CMSHOP),RM13.99,929 sold
GASBAR 9000 PUFF DISPOSABLE USB TYPE C RECHARGEABLE BATTERY GAS BAR LEFTYCOOL VOLTBAR ELFBAR,RM24.99,240 sold
* SQUIDBOX DISPOSABLE 5200 * SQUID BOX DISPOSABLE POD 5200 PUFFS 12ML 850MAH RECHARGEABLE,RM10.00,9 sold
( Disposable ) 100% Original Relax Bar Prefilled 8000 Puffs Pod Kit Plug & Vape Starter Kit / Cart / Reusable Device,RM25.00,140 sold
PUFF Plus Disposable Pod 800 Puffs 550mAh 3.2mL Cheaper Than This Is Stick / Aladdin ProStick Bar elf bar zozo qstick Pod Stick,RM8.88,442 sold
Naked 100 nkd 100 Max Disposable Rechargeable 4500Puffs nkd100 pod 10ml naked pod disposable,RM29.99,234 sold
Disposable Harga Murah Classic Series 1500 Puffs OEM China Pod Pakai Buang,RM5.99,255 sold
Aspire T10 2200 Puffs Disposable Clear STock,RM4.00,Wp Kuala Lumpur
HQD Cuvie Plus 1200 puffs Disposable Pod Taste Better and Price Cheaper than ELF Bar or Artery ABAR Disposable Pods (BLACK STORE TRADING),RM8.99,9 sold
READY STOCK Puff plus Disposable vape pod vape kit 800 puffs,RM16.00,502 sold
Wholesale Cyberpunk Lux 1500 Puffs Disposable Pod Pakai Buang,RM5.99,41 sold
[READY STOCK+FAST SHIPPING] ORIGINAL NASTY FIX V2 DISPOSABLE POD 800 PUFF,RM9.90,1.1K sold
ELFBAR RAYA D1 13K 13000 SMART DIGITAL SCREEN READY STOCK [FAST SHIP],RM35.90,539 sold
CONVERT ASDF 10000 PUFF VAPE KIT FLAVOR ONLY & CARTRIDGE Use Any Type-C Charging Cable USB / FAST SHIPMENT/ BULK ORDER AVAILABLE / NO NICOTINE,RM21.70,2.6K sold
2024 New WERTI POD READY STOCK,RM22.90,140 sold
6000 BUILT IN BATTERY SODA BOTTLE USE USB C 6000,RM32.99,12 sold
【Ready Stock】ELF BAR 1500 PUFFS DISPOSABLE VAPE DEVICE 850mAh,RM5.99,284 sold
"ELF BAR Disposable Pod Up to 1500 Puffs Juice Capacity 4.8ML, Battery capacity 850ah (POD PAKAI BUANG)",RM5.99,1.6K sold
VAPECAM 12000 PUFF CARTRIDGE 12K FULL LINEUP,RM14.90,156 sold
CLEAR STOCK 1500 Puff Pod Disposable Pakai Buang OEM (850mAh) similar HQD cuvie Artery abar,RM5.99,265 sold
NEW GEEK BAR PSG9000 PUFF DISPOSABLE READY STOCK / COLLABORATION WITH PSG / SAME DAY DELIVERY / VAPE KIT,RM33.30,286 sold
ENJOY MORE 12000 FLAV ONLY ORIGINAL Honeydew Peach Mango Yakolt Solero lime Yakolt Bubblegum Caremel Popcorn Rybena Cappuccino Milk Candy Bottle Shape,RM17.59,50 sold
ASDF CONVERT 10000 CARTRIDGE PREFILLED DSP KIT (UPGRADE VERSION),RM9.90,302 sold
[SUX ULTRA] 6500 PUFF NEW DISPOSABLE FLAVOUR CAN REFILL POD SET / FLAVOUR ONLY SUX ULTRA NEW DISPOSABLE ALL FLAVOUR AVAILABLE READY,RM19.90,178 sold
Volt Bar Switch_ 12k Puffs Dispo Closed System Pod kit,RM26.00,459 sold
ELFBAR PI9000 DISPOSABLE,RM35.50,140 sold
"100 Pieces Of Coarse, Medium And Fine Three-Use Tar Filters Can Be Five-Use Healthy Disposable Plastic Tar Filters",RM15.23,2.1K sold
LOST MARY CD 12K 12000 CD PLAYER EAR MIC READY STOCK [FAST SHIP],RM24.90,131 sold
Ijoy Lio 1500Puffs 800mAh 5.4ml Disposable Pod Kit,RM3.50,27 sold
Elf_ Bar TE6000 Puffs Pod,RM29.90,97 sold
Latest Lowit 12K Dispo Pod,RM22.00,47 sold
STOCK READY - SoMatch (FLAVOR) 6000P / Disposable,RM22.89,50 sold
GEEKBAR PSG9000 9000 PUFF DSP KIT,RM35.90,47 sold
SUX ULTRA 6500 PUFF NEW DISPOSIBLE FLAVOUR CAN REFILL POD SET / FLAVOUR ONLY SUX ULTRA NEW DISPOSIBLE ALL FLAVOUR AVAILABLE READY,RM21.99,109 sold
Original Werti Disposable Pod 4500Puff,RM12.00,30 sold
ELFBAR TE6000 Puff Fruity/Creamy Disposable Pod Pakai Buang ELF TE6000 ELFBAR TE 6000 PUFF READY STOCK FOR SALE ALL FLAVOUR,RM27.00,427 sold
NEW* ALADDIN PRO 9000 PUFF DISPOSABLE STARTER KIT / PREFILLED LEFTYCOOL VOLTBAR GASBAR VAPETAPE ELF BAR,RM34.99,603 sold
CA_RA_BAT 15000 FULLSET & REFLL CART FLAVOOR ONLY TYPE C CABLE,RM24.99,52 sold
ELFBAR TE6000 Elf Bar TE 6000 Puffs Disposable Pod CREAMY SERIES Elf Bar 6000 Elfbar 6000 EMPIRE,RM22.00,77 sold
ORIGINAL H-A-R-U-M MANIS DISPOSABLE POD 800 puff [READY STOCK],RM7.88,6 sold
ARTERY MECHA 13900 13.9K FAST CHARGING TYPE C READY STOCK [FAST SHIP],RM34.90,15 sold
WHOLESALE ELF BAR 1500 puff Disposable Pod Stick China Import Version (*NOT MALAYSIA VERSION) - Similar This Is Stick Artery Abar zozo ELF_elf Bar (CMSHOP),RM11.99,2.4K sold
PUFF Plus Disposable Pod 800 Puffs 550mAh 3.2mL l Akso Hcigar l Elf bar l This is stick l (Pakai buang pod) Pod Stick,RM8.88,987 sold
"WAKA SoPro PA600 Disposable Vape True 600 Puffs (Mango Passion Fruit, Oolong Tea, Strawberry Mango, Watermelon Chill, Cappuccino, Grape) Mesh Coil 2.0",RM16.90,123 sold
CON_VERT 10000 FULLSET & REFLL CART FLAVOOR ONLY SDS,RM24.99,49 sold
SoMatch 6000p Cartridge & Battery Kit,RM22.00,11 sold
COOLGO RL 1500 Puffs Rechargeable LED Flash Light Disposable Pod 5ml with LED Pakai Buang - Similar Smooth Ocean/This Is Stick/ELF bar/Artery bar/AKSO maxx (CMSHOP),RM13.99,929 sold
* SQUIDBOX DISPOSABLE 5200 * SQUID BOX DISPOSABLE POD 5200 PUFFS 12ML 850MAH RECHARGEABLE,RM10.00,9 sold
PUFF Plus Disposable Pod 800 Puffs 550mAh 3.2mL Cheaper Than This Is Stick / Aladdin ProStick Bar elf bar zozo qstick Pod Stick,RM8.88,442 sold
Naked 100 nkd 100 Max Disposable Rechargeable 4500Puffs nkd100 pod 10ml naked pod disposable,RM29.99,234 sold
Disposable Harga Murah Classic Series 1500 Puffs OEM China Pod Pakai Buang,RM5.99,255 sold
This IS Salt Disposable 800Puffs Clear Stock !!! Up For Buy,RM4.00,19 sold
